Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 15
  Number of stages for ingress table allocation: 15
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 11
Invoking table placement without container conflicts because first round of table placement required 15 stages.
Number of tables allocated: 143
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
|  13   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3331               |
|  13   |   [ 9, 11 ]*    |                        tbl_arm_clone                         |
|  13   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3277               |
|  13   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3145               |
|  13   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3148               |
|  13   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3547               |
|  14   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3548               |
|  14   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3369               |
|  14   |   [ 8, 11 ]*    |                       tbl_arm_clone_1                        |
|  14   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3371               |
|  14   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3379               |
|  14   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3231               |
|  14   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3232               |
|  14   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3527               |
|  14   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3529               |
|  14   |   [ 10, 11 ]*   |                   Ingress.tbl_tm_dispatch                    |
|  14   |   [ 10, 11 ]*   |              tbl_defense4_rrc_bor_sr_probe3576               |
|  14   |   [ 10, 11 ]*   |              tbl_defense4_rrc_bor_sr_probe3575               |
|  14   |   [ 10, 11 ]*   |              tbl_defense4_rrc_bor_sr_probe3574               |
+-------+-----------------+--------------------------------------------------------------+

NOTES:  - A '*' next to the min / max stage column indicates the table is placed outside its allowed scope

Table allocation done 2 time(s), state = NOCC_TRY1
Number of stages in table allocation: 13
  Number of stages for ingress table allocation: 13
  Number of stages for egress table allocation: 3
Critical path length through the table dependency graph: 11
Invoking table placement without metadata initialization because container conflict-free table placement required 13 stages.
Number of tables allocated: 143
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
+-------+-----------------+--------------------------------------------------------------+
|   0   |    [ -, - ]     |                  Ingress.tbl_build_exp_ack                   |
|   0   |    [ 0, 1 ]     |                     Ingress.tbl_session                      |
|   0   |    [ 0, 2 ]     |                      Ingress.tbl_params                      |
|   0   |    [ 0, 2 ]     |                           cond-93                            |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2869               |
