Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 14
  Number of stages for ingress table allocation: 14
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 11
Invoking table placement without container conflicts because first round of table placement required 14 stages.
Number of tables allocated: 137
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
|   2   |    [ 2, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2945             |
|   2   |    [ 2, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2947             |
|   2   |    [ 2, 3 ]     |                           cond-92                            |
|   2   |    [ 2, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2920             |
|   2   |    [ 2, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2922             |
|   2   |   [ 2, 11 ]     |             tbl_defense4_twopipe_pipe0_probe2925             |
|   2   |    [ 1, 4 ]     |                    Ingress.tbl_build_now                     |
|   2   |   [ 1, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3608             |
|   2   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_0          |
|   2   |   [ 1, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3817             |
|   2   |   [ 1, 11 ]     | egresshdr.ipv4.hdr_checksum_encode_update_condition_2_egress |
|   2   |   [ 1, 11 ]     |   egresshdr.tcp.checksum_encode_update_condition_3_egress    |
|   3   |    [ 3, 4 ]     |                  Ingress.tbl_resp_authorise                  |
|   3   |    [ 2, 5 ]     |                 Ingress.tbl_build_cand_resp                  |
|   3   |    [ 2, 5 ]     |                    Ingress.tbl_build_cand                    |
|   3   |    [ 2, 5 ]     |                 Ingress.tbl_build_bor_cands                  |
|   4   |    [ 4, 5 ]     |             tbl_defense4_twopipe_pipe0_probe2964             |
|   4   |    [ 4, 5 ]     |             tbl_defense4_twopipe_pipe0_probe2968             |
|   4   |    [ 4, 5 ]     |             tbl_defense4_twopipe_pipe0_probe2974             |
|   4   |    [ 4, 5 ]     |             tbl_defense4_twopipe_pipe0_probe2990             |
|   4   |    [ 4, 5 ]     |             tbl_defense4_twopipe_pipe0_probe2985             |
|   4   |    [ 4, 5 ]     |             tbl_defense4_twopipe_pipe0_probe2987             |
|   5   |    [ 5, 6 ]     |                   Ingress.tbl_state_decode                   |
|   5   |    [ 5, 7 ]     |                    Ingress.tbl_txn_active                    |
|   6   |    [ 6, 7 ]     |             tbl_defense4_twopipe_pipe0_probe3015             |
|   6   |   [ 6, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3060             |
|   6   |   [ 6, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3066             |
|   7   |    [ 7, 8 ]     |             tbl_defense4_twopipe_pipe0_probe3044             |
|   7   |    [ 7, 9 ]     |             tbl_defense4_twopipe_pipe0_probe3042             |
|   7   |    [ 7, 8 ]     |             tbl_defense4_twopipe_pipe0_probe3035             |
|   7   |    [ 7, 9 ]     |             tbl_defense4_twopipe_pipe0_probe3033             |
|   8   |    [ 8, 9 ]     |                   Ingress.tbl_tresp_expiry                   |
|   8   |    [ 8, 9 ]     |                 Ingress.tbl_deadline_expiry                  |
|   8   |   [ 8, 10 ]     |                           cond-108                           |
|   8   |   [ 8, 10 ]     |                           cond-133                           |
|   8   |   [ 8, 10 ]     |                           cond-137                           |
|   8   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3116             |
|   8   |   [ 8, 10 ]     |                           cond-110                           |
|   8   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3202             |
|   8   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3136             |
|   8   |   [ 8, 10 ]     |                         tbl_to_block                         |
|   8   |   [ 8, 10 ]     |                      tbl_to_resp_block                       |
|   8   |   [ 8, 10 ]     |                           cond-116                           |
|   8   |   [ 8, 10 ]     |                           cond-122                           |
|   8   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3308             |
|   8   |   [ 8, 10 ]     |                         tbl_to_hold                          |
|   8   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3323             |
|   9   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3314             |
|   9   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3154             |
|   9   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3145             |
|   9   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3499             |
|   9   |   [ 9, 10 ]     |                           cond-139                           |
|   9   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3467             |
|   9   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3476             |
|   9   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3518             |
