class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,resp_seg_vector,resp_total,cold
ALL,defended,91,3,1786665262.000591,1786665262.021592,1786665262.025592,4.000,45,28,28,0
ALL,defended,92,3,1786665262.031212,1786665262.051717,1786665262.055711,3.994,45,28,28,0
ALL,defended,93,3,1786665262.061410,1786665262.081907,1786665262.085911,4.004,45,28,28,0
ALL,defended,94,3,1786665262.091535,1786665262.112959,1786665262.117021,4.062,45,28,28,0
ALL,defended,95,3,1786665262.122589,1786665262.143054,1786665262.147059,4.005,45,28,28,0
ALL,defended,96,3,1786665262.152667,1786665262.173146,1786665262.177180,4.034,45,28,28,0
ALL,defended,97,3,1786665262.182809,1786665262.203320,1786665262.207316,3.996,45,28,28,0
ALL,defended,98,3,1786665262.212929,1786665262.234153,1786665262.238160,4.006,45,28,28,0
ALL,defended,99,3,1786665262.243780,1786665262.264335,1786665262.268338,4.003,45,28,28,0
ALL,defended,100,3,1786665262.273963,1786665262.294475,1786665262.298477,4.001,45,28,28,0
ALL,defended,101,3,1786665262.304103,1786665262.325582,1786665262.329611,4.028,45,28,28,0
ALL,defended,102,3,1786665262.335235,1786665262.355708,1786665262.359711,4.003,45,28,28,0
ALL,defended,103,3,1786665262.365355,1786665262.385828,1786665262.389795,3.967,45,28,28,0
ALL,defended,104,3,1786665262.395422,1786665262.415938,1786665262.419940,4.002,45,28,28,0
ALL,defended,105,3,1786665262.425553,1786665262.446695,1786665262.450697,4.002,45,28,28,0
ALL,defended,106,3,1786665262.456335,1786665262.476854,1786665262.480855,4.001,45,28,28,0
ALL,defended,107,3,1786665262.486497,1786665262.506989,1786665262.511069,4.080,45,28,28,0
ALL,defended,108,3,1786665262.516640,1786665262.538074,1786665262.542070,3.996,45,28,28,0
ALL,defended,109,3,1786665262.547721,1786665262.568188,1786665262.572194,4.006,45,28,28,0
ALL,defended,110,3,1786665262.577802,1786665262.598307,1786665262.602308,4.000,45,28,28,0
ALL,defended,111,3,1786665262.607933,1786665262.628439,1786665262.632439,4.000,45,28,28,0
ALL,defended,112,3,1786665262.638062,1786665262.659308,1786665262.663360,4.052,45,28,28,0
ALL,defended,113,3,1786665262.668908,1786665262.689425,1786665262.693426,4.001,45,28,28,0
ALL,defended,114,3,1786665262.699043,1786665262.719542,1786665262.723549,4.008,45,28,28,0
ALL,defended,115,3,1786665262.729179,1786665262.753619,1786665262.757616,3.997,45,28,28,0
ALL,defended,116,3,1786665262.763221,1786665262.784392,1786665262.788388,3.996,45,28,28,0
ALL,defended,117,3,1786665262.794022,1786665262.814532,1786665262.818528,3.996,45,28,28,0
ALL,defended,118,3,1786665262.824155,1786665262.844639,1786665262.848669,4.030,45,28,28,0
ALL,defended,119,3,1786665262.854309,1786665262.875818,1786665262.879818,4.000,45,28,28,0
ALL,defended,120,3,1786665262.885471,1786665262.905939,1786665262.909950,4.012,45,28,28,0
ALL,defended,121,3,1786665262.915574,1786665262.936040,1786665262.940040,4.000,45,28,28,0
ALL,defended,122,3,1786665262.945697,1786665262.966208,1786665262.970206,3.999,45,28,28,0
ALL,defended,123,3,1786665262.975836,1786665262.996865,1786665263.000862,3.997,45,28,28,0
ALL,defended,124,3,1786665263.006498,1786665263.027010,1786665263.031001,3.991,45,28,28,0
ALL,defended,125,3,1786665263.036607,1786665263.057115,1786665263.061170,4.055,45,28,28,0
ALL,defended,126,3,1786665263.066750,1786665263.087211,1786665263.091214,4.003,45,28,28,0
ALL,defended,127,3,1786665263.096838,1786665263.117759,1786665263.121763,4.004,45,28,28,0
ALL,defended,128,3,1786665263.127388,1786665263.147894,1786665263.151892,3.998,45,28,28,0
ALL,defended,129,3,1786665263.157507,1786665263.178018,1786665263.182011,3.994,45,28,28,0
ALL,defended,130,3,1786665263.187634,1786665263.208093,1786665263.212147,4.054,45,28,28,0
ALL,defended,131,3,1786665263.217736,1786665263.238605,1786665263.242604,3.999,45,28,28,0
ALL,defended,132,3,1786665263.248226,1786665263.268741,1786665263.272712,3.971,45,28,28,0
ALL,defended,133,3,1786665263.278341,1786665263.298846,1786665263.302850,4.004,45,28,28,0
ALL,defended,134,3,1786665263.308476,1786665263.328944,1786665263.332944,3.999,45,28,28,0
ALL,defended,135,3,1786665263.338569,1786665263.359529,1786665263.363526,3.997,45,28,28,0
ALL,defended,136,3,1786665263.369148,1786665263.389663,1786665263.393659,3.996,45,28,28,0
