class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,cold
ALL,defended,232,1,1786665337.009511,1786665337.030172,1786665337.034173,4.001,20,0
ALL,defended,233,1,1786665337.034512,1786665337.055178,1786665337.059177,3.999,20,0
ALL,defended,234,1,1786665337.059511,1786665337.080176,1786665337.084178,4.002,20,0
ALL,defended,235,1,1786665337.084516,1786665337.105178,1786665337.109155,3.976,20,0
ALL,defended,236,1,1786665337.109485,1786665337.130162,1786665337.134162,3.999,20,0
ALL,defended,237,1,1786665337.134496,1786665337.155169,1786665337.159172,4.003,20,0
ALL,defended,238,1,1786665337.159507,1786665337.180173,1786665337.184231,4.058,20,0
ALL,defended,239,1,1786665337.184513,1786665337.205160,1786665337.209176,4.016,20,0
ALL,defended,240,1,1786665337.209510,1786665337.230187,1786665337.234186,3.999,20,0
ALL,defended,241,1,1786665337.234526,1786665337.255287,1786665337.259286,3.999,20,0
ALL,defended,242,1,1786665337.259627,1786665337.280283,1786665337.284291,4.008,20,0
ALL,defended,243,1,1786665337.284633,1786665337.305778,1786665337.309783,4.004,20,0
ALL,defended,244,1,1786665337.310140,1786665337.330770,1786665337.334769,4.000,20,0
ALL,defended,245,1,1786665337.335110,1786665337.355758,1786665337.359763,4.004,20,0
ALL,defended,246,1,1786665337.360105,1786665337.380753,1786665337.384804,4.051,20,0
ALL,defended,247,1,1786665337.385087,1786665337.405740,1786665337.409742,4.002,20,0
ALL,defended,248,1,1786665337.410085,1786665337.430732,1786665337.434736,4.003,20,0
ALL,defended,249,1,1786665337.435075,1786665337.455743,1786665337.459734,3.992,20,0
ALL,defended,250,1,1786665337.460071,1786665337.480732,1786665337.484734,4.001,20,0
ALL,defended,251,1,1786665337.485070,1786665337.505738,1786665337.509812,4.074,20,0
ALL,defended,252,1,1786665337.510100,1786665337.530747,1786665337.534751,4.004,20,0
ALL,defended,253,1,1786665337.535094,1786665337.555758,1786665337.559759,4.000,20,0
ALL,defended,254,1,1786665337.560090,1786665337.580758,1786665337.584726,3.968,20,0
ALL,defended,255,1,1786665337.585058,1786665337.605729,1786665337.609729,4.000,20,0
ALL,defended,256,1,1786665337.610064,1786665337.630744,1786665337.634744,4.000,20,0
ALL,defended,257,1,1786665337.635074,1786665337.655750,1786665337.659752,4.002,20,0
ALL,defended,258,1,1786665337.660084,1786665337.680758,1786665337.684757,3.999,20,0
ALL,defended,259,1,1786665337.685089,1786665337.705768,1786665337.709832,4.064,20,0
ALL,defended,260,1,1786665337.710115,1786665337.730767,1786665337.734764,3.997,20,0
ALL,defended,261,1,1786665337.735102,1786665337.755763,1786665337.759763,4.000,20,0
ALL,defended,262,1,1786665337.760103,1786665337.780768,1786665337.784763,3.996,20,0
ALL,defended,263,1,1786665337.785107,1786665337.805763,1786665337.809761,3.998,20,0
ALL,defended,264,1,1786665337.810098,1786665337.830877,1786665337.834927,4.050,20,0
ALL,defended,265,1,1786665337.835208,1786665337.855867,1786665337.859863,3.996,20,0
ALL,defended,266,1,1786665337.860201,1786665337.880867,1786665337.884861,3.994,20,0
ALL,defended,267,1,1786665337.885198,1786665337.905858,1786665337.909866,4.008,20,0
ALL,defended,268,1,1786665337.910204,1786665337.930868,1786665337.934862,3.994,20,0
ALL,defended,269,1,1786665337.935196,1786665337.955863,1786665337.959863,4.000,20,0
ALL,defended,270,1,1786665337.960202,1786665337.980857,1786665337.984858,4.001,20,0
ALL,defended,271,1,1786665337.985194,1786665338.005854,1786665338.009864,4.010,20,0
ALL,defended,272,1,1786665338.010199,1786665338.030877,1786665338.034877,4.001,20,0
ALL,defended,273,1,1786665338.035215,1786665338.055892,1786665338.059889,3.998,20,0
ALL,defended,274,1,1786665338.060220,1786665338.080890,1786665338.084889,3.999,20,0
ALL,defended,275,1,1786665338.085223,1786665338.105891,1786665338.109894,4.003,20,0
ALL,defended,276,1,1786665338.110237,1786665338.130901,1786665338.134897,3.996,20,0
ALL,defended,277,1,1786665338.135227,1786665338.155901,1786665338.159905,4.004,20,0
ALL,defended,278,1,1786665338.160235,1786665338.180913,1786665338.184886,3.973,20,0
ALL,defended,279,1,1786665338.185212,1786665338.205885,1786665338.209883,3.998,20,0
ALL,defended,280,1,1786665338.210216,1786665338.230836,1786665338.234837,4.001,20,0
ALL,defended,281,1,1786665338.235177,1786665338.255790,1786665338.259792,4.001,20,0
ALL,defended,282,1,1786665338.260128,1786665338.280721,1786665338.284797,4.076,20,0
ALL,defended,283,1,1786665338.285083,1786665338.305699,1786665338.309705,4.006,20,0
ALL,defended,284,1,1786665338.310042,1786665338.330666,1786665338.334671,4.004,20,0
ALL,defended,285,1,1786665338.335008,1786665338.355836,1786665338.359835,3.999,20,0
ALL,defended,286,1,1786665338.360193,1786665338.380788,1786665338.384792,4.004,20,0
ALL,defended,287,1,1786665338.385127,1786665338.405761,1786665338.409760,4.000,20,0
ALL,defended,288,1,1786665338.410101,1786665338.430725,1786665338.434725,4.000,20,0
ALL,defended,289,1,1786665338.435067,1786665338.455683,1786665338.459686,4.003,20,0
ALL,defended,290,1,1786665338.460024,1786665338.480697,1786665338.484691,3.994,20,0
ALL,defended,291,1,1786665338.485025,1786665338.505695,1786665338.509700,4.005,20,0
ALL,defended,292,1,1786665338.510038,1786665338.530708,1786665338.534706,3.999,20,0
ALL,defended,293,1,1786665338.535046,1786665338.555693,1786665338.559792,4.098,20,0
ALL,defended,294,1,1786665338.560079,1786665338.580721,1786665338.584720,3.999,20,0
ALL,defended,295,1,1786665338.585057,1786665338.605721,1786665338.609719,3.998,20,0
ALL,defended,296,1,1786665338.610049,1786665338.630719,1786665338.634718,3.999,20,0
ALL,defended,297,1,1786665338.635050,1786665338.655723,1786665338.659724,4.001,20,0
ALL,defended,298,1,1786665338.660056,1786665338.680703,1786665338.684733,4.030,20,0
ALL,defended,299,1,1786665338.685064,1786665338.705743,1786665338.709736,3.993,20,0
ALL,defended,300,1,1786665338.710070,1786665338.730737,1786665338.734790,4.053,20,0
ALL,defended,301,1,1786665338.735073,1786665338.755729,1786665338.759730,4.000,20,0
ALL,defended,302,1,1786665338.760067,1786665338.780732,1786665338.784738,4.006,20,0
ALL,defended,303,1,1786665338.785075,1786665338.805735,1786665338.809731,3.996,20,0
ALL,defended,304,1,1786665338.810074,1786665338.830726,1786665338.834731,4.004,20,0
ALL,defended,305,1,1786665338.835075,1786665338.855730,1786665338.859726,3.997,20,0
ALL,defended,306,1,1786665338.860062,1786665338.880840,1786665338.884838,3.998,20,0
ALL,defended,307,1,1786665338.885175,1786665338.905827,1786665338.909831,4.004,20,0
ALL,defended,308,1,1786665338.910169,1786665338.930834,1786665338.934882,4.048,20,0
ALL,defended,309,1,1786665338.935164,1786665338.955831,1786665338.959837,4.006,20,0
