config,delivery,timing_mode,rep,txn,request_size,response_size,selected_target_ms,native_ready_ms,added_hold_ms,server_visible_ms,client_visible_ms,deadline_missed,bypassed,bypass_reason,queue_depth,byte_identical,recv_len,retransmission_count,ack_mode_pcap,dnp3_success
native/full,full,native,24,5,15,1657,0.0,0.4,0.0,0.4,0.6912,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,25,1,24,17,0.0,0.612,0.0,0.612,0.7655,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,25,2,21,17,0.0,0.3758,0.0,0.3758,0.7307,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,25,3,24,17,0.0,0.3647,0.0,0.3647,0.6132,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,25,4,18,2407,0.0,0.3563,0.0,0.3563,0.5948,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,25,5,15,1657,0.0,0.4214,0.0,0.4214,0.8212,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,26,1,24,17,0.0,0.6286,0.0,0.6286,0.8117,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,26,2,21,17,0.0,0.3543,0.0,0.3543,0.7103,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,26,3,24,17,0.0,0.3668,0.0,0.3668,0.6134,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,26,4,18,2407,0.0,0.3479,0.0,0.3479,0.5846,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,26,5,15,1657,0.0,0.3869,0.0,0.3869,0.6632,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,27,1,24,17,0.0,0.6274,0.0,0.6274,0.7676,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,27,2,21,17,0.0,0.3884,0.0,0.3884,0.733,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,27,3,24,17,0.0,0.3621,0.0,0.3621,0.6251,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,27,4,18,2407,0.0,0.3551,0.0,0.3551,0.5963,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,27,5,15,1657,0.0,0.3947,0.0,0.3947,0.6863,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,28,1,24,17,0.0,0.6196,0.0,0.6196,0.7727,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,28,2,21,17,0.0,0.4134,0.0,0.4134,0.7737,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,28,3,24,17,0.0,0.3806,0.0,0.3806,0.6395,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,28,4,18,2407,0.0,0.3653,0.0,0.3653,0.6081,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,28,5,15,1657,0.0,0.4043,0.0,0.4043,0.7009,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,29,1,24,17,0.0,0.6651,0.0,0.6651,0.8208,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,29,2,21,17,0.0,0.3755,0.0,0.3755,0.7312,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,29,3,24,17,0.0,0.3656,0.0,0.3656,0.6136,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,29,4,18,2407,0.0,0.3589,0.0,0.3589,0.5968,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,29,5,15,1657,0.0,0.3953,0.0,0.3953,0.6791,False,False,none,0,True,1657,na_no_pcap,not_captured,True
