capture_epoch_index,timestamp_us,slot_offset_us,slot_name,direction,cell_index,position_in_epoch,wire_len,dst_mac,src_mac,ethertype,magic,version,policy_id,key_epoch,cell_counter,public_header_len,ciphertext_len,tag_len,protocol,outer_flow_id,fragment_flag,retry_or_error_flag
2,1800000002001000,1000,ack,reverse,0,4,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,32,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002001250,1250,ack,reverse,1,5,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,33,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002200000,200000,response,reverse,0,6,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,34,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002200250,200250,response,reverse,1,7,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,35,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002200500,200500,response,reverse,2,8,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,36,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002200750,200750,response,reverse,3,9,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,37,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002201000,201000,response,reverse,4,10,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,38,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002201250,201250,response,reverse,5,11,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,39,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002201500,201500,response,reverse,6,12,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,40,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002201750,201750,response,reverse,7,13,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,41,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002202000,202000,response,reverse,8,14,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,42,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002202250,202250,response,reverse,9,15,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,43,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002202500,202500,response,reverse,10,16,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,44,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002202750,202750,response,reverse,11,17,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,45,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002203000,203000,response,reverse,12,18,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,46,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002203250,203250,response,reverse,13,19,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,47,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
