capture_epoch_index,case_id,status,primary_rn_l,protected_inner_length,exact_recovery,input_sha256,decoded_sha256,request_bundle_bytes,ack_bundle_bytes,response_bundle_bytes,tail_bundle_bytes,slot_status,source_kind,source_ref
31,rn-l-0243-09,success,1,243,1,bd98913efdfdd5b1202702497e40872796fabfacfed20831da2790ac5ba4332b,bd98913efdfdd5b1202702497e40872796fabfacfed20831da2790ac5ba4332b,78,58,301,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
32,rn-l-1574-04,success,1,1574,1,b07aa7b116ab801d62109813d3eca4a8304638b4710c8697e76876ddf0b21cf1,b07aa7b116ab801d62109813d3eca4a8304638b4710c8697e76876ddf0b21cf1,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
33,rn-l-0049-08,success,1,49,1,0856448dd9a967676dd7f64891c1b33e5e458906c4ab16b1b42c5044e16d6407,0856448dd9a967676dd7f64891c1b33e5e458906c4ab16b1b42c5044e16d6407,78,58,107,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
34,rn-l-0243-12,success,1,243,1,83866157e7c0adfc6a242a54b11544f8c389d0f19eb961c4448b99bed860184a,83866157e7c0adfc6a242a54b11544f8c389d0f19eb961c4448b99bed860184a,78,58,301,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
35,rn-l-0058-12,success,1,58,1,e42cc97254a442a713a1670ef7a5b7196b3a7472a62f49e33cb0866c819d4c80,e42cc97254a442a713a1670ef7a5b7196b3a7472a62f49e33cb0866c819d4c80,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
36,rn-l-0049-03,success,1,49,1,3458e9f39da1f6461493a31a35281e1552b1f926555c3dec1629d5b5547e3d06,3458e9f39da1f6461493a31a35281e1552b1f926555c3dec1629d5b5547e3d06,78,58,107,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
37,rn-l-0058-14,success,1,58,1,e8e0a2583014f9ae0d6edcd95056844516202ea67d670fe57344ebb834d54318,e8e0a2583014f9ae0d6edcd95056844516202ea67d670fe57344ebb834d54318,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
38,rn-l-0243-16,success,1,243,1,c2803c4668380b113a9e7259f388b1a8d49c5f483d9745ba6449e7d9e8d342cb,c2803c4668380b113a9e7259f388b1a8d49c5f483d9745ba6449e7d9e8d342cb,78,58,301,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
39,rn-l-0243-03,success,1,243,1,422d08c1bf19003abe075067e2600c035096dcc018184dcc8bf950c7383f082e,422d08c1bf19003abe075067e2600c035096dcc018184dcc8bf950c7383f082e,78,58,301,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
40,rn-l-1574-19,success,1,1574,1,07e64ffe7b5d862153cf3bb7710212f4e3cdcfcea8a7c3b8ce15d4433ddd3c19,07e64ffe7b5d862153cf3bb7710212f4e3cdcfcea8a7c3b8ce15d4433ddd3c19,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
41,rn-l-0058-02,success,1,58,1,4c6a710e55efcbb727393eedb175d0965a4fcdb016d610cdd21a9986478bf4d1,4c6a710e55efcbb727393eedb175d0965a4fcdb016d610cdd21a9986478bf4d1,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
42,rn-l-0058-04,success,1,58,1,cfccac27284bbc71330144b2df73434a1c84381977991a6cbdb91e9fcc280740,cfccac27284bbc71330144b2df73434a1c84381977991a6cbdb91e9fcc280740,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
43,rn-l-0058-08,success,1,58,1,2e5c50875e7b81c1d27da1fd8499be4f3de86a2166bb7216fc466a24ee51c300,2e5c50875e7b81c1d27da1fd8499be4f3de86a2166bb7216fc466a24ee51c300,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
44,rn-l-0017-08,success,1,17,1,e53155191d006b446520e9611241bcce1d9a722f09cf2e5babe27b3794447b65,e53155191d006b446520e9611241bcce1d9a722f09cf2e5babe27b3794447b65,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
45,rn-l-0017-09,success,1,17,1,e7741fdd4d060ae948ec05799abe294e829481e09740b3510b81b9064befbe8c,e7741fdd4d060ae948ec05799abe294e829481e09740b3510b81b9064befbe8c,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
46,rn-l-0017-06,success,1,17,1,d61b3e145885aa6550c9ff7f76e6d5199877b03ec304fdab38a63a21bc879fba,d61b3e145885aa6550c9ff7f76e6d5199877b03ec304fdab38a63a21bc879fba,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
47,rn-l-0243-14,success,1,243,1,0d95c059f94c86a3e16f2a330629daa0670012de9781689d8b5ebf89c24b514d,0d95c059f94c86a3e16f2a330629daa0670012de9781689d8b5ebf89c24b514d,78,58,301,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
48,rn-l-0049-17,success,1,49,1,b64c555f5e4d1f8156a64845576b679fec48054d556c08e12edc5ecfddfa0436,b64c555f5e4d1f8156a64845576b679fec48054d556c08e12edc5ecfddfa0436,78,58,107,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
49,rn-l-0017-11,success,1,17,1,1f562d89c4d040bd51da0b6e13115f401b89f889e5a3db07c97873974e6cd7b6,1f562d89c4d040bd51da0b6e13115f401b89f889e5a3db07c97873974e6cd7b6,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
50,rn-l-0243-00,success,1,243,1,70a36210f853fa84a2dee2ea8898b204f13e7768ddf538874878cd9d807ecbc0,70a36210f853fa84a2dee2ea8898b204f13e7768ddf538874878cd9d807ecbc0,78,58,301,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
51,rn-l-0243-07,success,1,243,1,353698e6da30d04e67ebddfa3c9a78e2213f4ab4627bdad7fc55c579137933f7,353698e6da30d04e67ebddfa3c9a78e2213f4ab4627bdad7fc55c579137933f7,78,58,301,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
52,rn-l-0017-14,success,1,17,1,7d6a5e4fde316bbe25009f585da881ed936c202fa531b50da411042d501a6bfc,7d6a5e4fde316bbe25009f585da881ed936c202fa531b50da411042d501a6bfc,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
53,rn-l-1574-02,success,1,1574,1,edca3506961eaf8d8c2bebce517f2caf1202f3adc405b2142c8dcd3397a0d1df,edca3506961eaf8d8c2bebce517f2caf1202f3adc405b2142c8dcd3397a0d1df,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
