condition,class,request_to_ack_ms,clrt_ms
native,READ,1.5783,1.1300
native,READ,0.6011,2.3000
native,READ,0.6282,1.1750
native,READ,1.5876,1.1620
native,READ,0.6285,2.2600
native,READ,0.5987,1.2140
native,READ,1.4989,1.2960
native,READ,0.4985,2.2690
native,READ,0.5131,1.3080
native,READ,1.4911,1.2390
native,READ,0.6309,2.2150
native,READ,0.5798,2.3870
native,READ,0.6437,1.2100
native,READ,1.6103,1.1510
native,READ,0.5431,2.1710
native,READ,4.7956,1.2080
native,READ,1.6606,1.1460
native,READ,0.6154,2.2120
native,READ,0.6189,1.1600
native,READ,1.6246,1.1380
native,READ,0.6073,2.4940
native,READ,0.6349,1.1620
native,READ,1.5755,1.2620
native,READ,0.6466,2.1480
native,READ,0.6187,1.2420
native,READ,1.5824,1.1080
native,READ,0.5441,2.2840
native,READ,0.6332,1.1250
native,READ,1.6904,1.1450
native,READ,0.6278,2.2310
native,READ,0.6280,1.2140
native,READ,1.5454,1.3350
native,READ,0.5047,2.2630
native,READ,0.5882,2.2230
native,READ,0.6034,1.1950
native,READ,0.5844,2.2140
native,READ,0.6104,2.2990
native,READ,0.5686,1.2410
native,READ,1.6084,1.2120
native,READ,0.6032,2.1160
native,READ,0.5715,1.2820
native,READ,1.6327,1.1610
native,READ,0.8528,2.0880
native,READ,0.6249,1.1690
native,READ,1.7133,1.1540
native,READ,0.5021,2.2800
native,READ,0.5038,1.2810
native,READ,1.6236,1.1930
native,READ,0.5982,2.2090
native,READ,0.5214,1.2770
native,READ,1.6057,1.1960
native,READ,4.6837,2.4820
native,READ,0.6270,1.1320
native,READ,1.6181,1.1460
native,READ,0.6282,2.1840
native,READ,0.6275,1.1600
native,READ,1.6179,1.2090
native,READ,0.6077,2.1800
native,READ,0.6099,1.3780
native,READ,1.4858,1.2520
native,READ,0.6409,2.2140
native,READ,0.5903,2.3600
native,READ,0.6313,1.2040
native,READ,1.6136,1.2270
native,READ,0.6115,2.1230
native,READ,0.5898,1.1960
native,READ,1.6613,1.1950
native,READ,0.6289,2.1630
native,READ,0.6278,1.1530
native,READ,1.6663,1.1550
native,READ,0.5610,2.2300
native,READ,0.5386,1.2200
native,READ,1.7726,1.2180
native,READ,0.5136,2.2290
native,READ,0.5345,1.3090
native,READ,1.5767,1.2730
native,READ,0.6056,2.1700
native,READ,0.5577,1.2750
native,READ,1.5819,1.3120
native,READ,0.6187,2.1320
native,READ,0.6216,1.1680
native,READ,1.6398,1.1620
native,READ,0.6218,2.1540
native,READ,0.8111,1.1550
native,READ,1.5674,1.3020
native,READ,0.5894,2.1580
native,READ,0.5419,5.4100
native,READ,1.5783,1.2270
native,READ,0.5343,2.3170
native,READ,0.5040,1.2620
native,READ,1.4741,1.3800
native,READ,0.5975,2.1940
native,READ,0.8388,2.1460
native,READ,0.6287,1.1540
native,READ,1.6959,1.1220
native,READ,0.6156,2.3250
native,READ,0.5715,1.2380
native,READ,1.6601,1.2330
native,READ,0.5691,2.1360
native,READ,0.5858,1.2560
native,READ,1.6191,1.1840
native,READ,0.5872,2.1110
native,READ,0.5622,1.2680
native,READ,1.6453,1.2690
native,READ,0.6471,2.1780
native,READ,0.6490,1.1550
native,READ,1.6432,1.0580
native,READ,0.5012,2.2770
native,READ,0.6304,1.1780
native,READ,1.6162,1.1320
native,READ,0.5581,2.2670
native,READ,0.5624,1.2960
native,READ,1.5621,1.1820
native,READ,0.5562,2.3470
native,READ,0.5243,1.2640
native,READ,1.5197,1.2640
native,READ,0.5593,2.2460
native,READ,0.5469,1.2390
native,READ,1.5390,1.3550
native,READ,0.5798,2.1850
native,READ,0.5846,2.2910
native,READ,0.5734,1.2210
native,READ,4.6740,2.4010
native,READ,0.6220,2.1260
native,READ,0.7064,1.1560
native,READ,1.6608,1.1470
native,READ,0.5846,2.1460
native,READ,0.6731,1.1820
native,READ,1.6682,1.1970
native,READ,0.5851,2.1930
native,READ,0.5429,1.2450
native,READ,1.7226,1.1550
native,READ,0.5887,2.2090
native,READ,0.7446,1.2310
native,READ,1.6131,1.1860
native,READ,0.6120,2.2880
native,READ,0.6087,1.2000
native,READ,1.6079,1.1060
native,READ,0.6170,2.2530
native,READ,0.6115,1.1650
native,READ,1.6086,1.1640
native,READ,0.6182,2.1380
native,READ,0.6390,1.2110
native,READ,1.5624,1.2910
native,READ,0.5870,2.1840
native,READ,0.5283,2.3320
native,READ,0.5872,1.2340
native,READ,0.5231,2.2910
native,READ,0.5248,2.2580
native,READ,0.5167,1.3420
native,READ,1.5643,1.3290
native,READ,0.7317,2.1930
native,READ,0.5329,1.4610
native,READ,1.5485,1.1900
native,READ,0.4978,2.4520
native,READ,0.6270,1.1840
native,READ,1.6251,1.1830
native,READ,0.6039,6.4230
native,READ,0.7865,1.1980
native,READ,1.5759,1.3660
native,READ,1.5812,1.2170
native,READ,0.6225,2.2180
native,READ,0.6440,1.1360
native,READ,1.7517,1.1410
native,READ,0.6225,6.7420
native,READ,0.5734,1.2290
native,READ,1.6422,1.1080
native,READ,0.5434,2.2630
native,READ,0.6461,1.1780
native,READ,1.6592,1.1630
native,READ,0.6437,2.2990
native,READ,0.5231,1.2790
native,READ,1.6828,1.3300
native,READ,1.6055,1.1820
native,READ,0.6280,2.1490
native,READ,0.6409,1.1710
native,READ,1.6222,1.1130
native,READ,0.6576,2.2190
native,READ,0.6008,1.1710
native,READ,1.5936,1.1370
native,READ,0.6294,2.1550
native,READ,0.6173,1.1700
native,READ,1.6284,1.2920
native,READ,0.5822,2.2320
native,READ,0.5758,1.2570
native,READ,1.5759,1.1890
native,READ,0.5748,2.2470
native,READ,0.5121,1.3250
native,READ,1.5891,1.0990
native,READ,0.5145,2.3700
native,READ,0.5198,1.3170
native,READ,1.5700,5.3390
native,READ,0.7377,2.2280
native,READ,0.5572,1.2410
native,READ,1.6265,1.1070
native,READ,0.6299,2.1760
native,READ,0.6137,1.2630
native,READ,1.6899,1.1470
native,READ,0.5567,2.1710
native,READ,0.5763,1.2040
native,READ,1.5380,1.2990
native,READ,0.5713,2.1800
native,READ,0.5956,2.3470
native,READ,0.5927,1.2510
native,READ,0.5922,2.2340
native,READ,0.5114,2.2620
native,READ,0.5610,1.2700
native,READ,1.6005,1.3030
native,READ,0.6280,2.2080
native,READ,0.6280,1.1900
native,READ,1.5917,1.1670
native,READ,0.5748,2.2950
native,READ,0.5105,1.2760
native,READ,1.7231,1.2410
native,READ,0.5286,2.3090
native,READ,0.6225,1.1550
native,READ,1.5810,1.2050
native,READ,0.5982,2.1660
native,READ,0.5977,1.2340
native,READ,1.6003,1.1430
native,READ,0.6371,2.1640
native,READ,0.6237,1.1710
native,READ,1.6456,1.1910
native,READ,0.5958,2.3110
native,READ,0.5953,1.2200
native,READ,1.4791,1.2920
native,READ,0.5915,2.2540
native,READ,4.7052,1.2870
native,READ,1.5619,1.2790
native,READ,0.5319,2.2440
native,READ,0.5083,2.2630
native,READ,0.5128,1.3410
native,READ,0.5851,2.3400
native,READ,0.5767,2.2480
native,READ,0.6273,1.2610
native,READ,1.6241,1.1430
native,READ,0.6180,2.2590
native,READ,0.5834,1.1650
native,READ,1.6565,1.1480
native,READ,0.5844,2.2440
native,READ,0.6292,1.2010
native,READ,1.5914,1.2110
native,READ,0.5674,2.2330
native,READ,0.5803,1.4130
native,READ,1.5485,1.2590
native,READ,0.6785,2.1570
native,READ,0.6270,1.1510
native,READ,1.6146,1.0650
native,READ,0.5112,2.5540
native,READ,0.5045,1.2530
native,READ,1.4999,1.2900
native,READ,0.5288,2.2770
native,READ,0.6568,1.2390
native,READ,1.4923,1.2460
native,READ,0.7570,2.2300
native,READ,0.5965,2.1380
native,READ,0.6099,1.1700
native,READ,1.6644,1.1400
native,READ,0.6428,2.0990
native,READ,0.7102,1.1390
native,READ,1.7006,1.1640
native,READ,0.6270,2.1220
native,READ,0.6249,1.1630
native,READ,5.8811,1.1310
native,READ,0.6258,2.2780
native,READ,0.5283,1.2590
native,READ,1.5690,1.2550
native,READ,0.5147,2.2720
native,READ,0.5705,1.3260
native,READ,1.5562,1.1390
