txn_index,tcp_stream,read_frame,read_ts_epoch,read_tcp_seq,read_tcp_len,read_tcp_hdr_len,read_ip_len,read_frame_len,read_dnp3_func,read_dnp3_al_seq,read_dnp3_tr_seq,read_dnp3_src,read_dnp3_dst,read_dnp3_hdr_crc_ok,expected_ack,ack_frame,ack_ts_epoch,ack_tcp_seq,ack_tcp_ack,ack_tcp_len,ack_tcp_hdr_len,ack_ip_len,ack_frame_len,resp_frame,resp_ts_epoch,resp_tcp_seq,resp_tcp_ack,resp_tcp_len,resp_tcp_hdr_len,resp_ip_len,resp_frame_len,resp_dnp3_func,resp_dnp3_al_seq,resp_dnp3_tr_seq,resp_dnp3_src,resp_dnp3_dst,resp_dnp3_hdr_crc_ok,resp_dnp3_frame_total_len,clrt_ms,clrt_ns,read_to_ack_ms,read_to_read_ms,prev_resp_to_read_ms,retransmission_flags,tcp_analysis_flags,ws_malformed,protection_miss_candidate,ambiguity,validation_failure
28,0,116,1785028600.822230325,2334819760,22,32,74,88,1,12,0,1,0,True,2334819782,117,1785028600.822677313,2052938509,2334819782,0,32,52,66,118,1785028600.824799078,2052938509,2334819782,54,32,106,120,129,12,56,0,1,True,54,2.121765,2121765,0.446988,400.019734,397.225996,,,False,False,,
29,0,120,1785028601.222250059,2334819782,22,32,74,88,1,13,0,1,0,True,2334819804,121,1785028601.222771360,2052938563,2334819804,0,32,52,66,122,1785028601.225482450,2052938563,2334819804,54,32,106,120,129,13,57,0,1,True,54,2.711090,2711090,0.521301,399.983950,397.450981,,,False,False,,
30,0,124,1785028601.622234009,2334819804,22,32,74,88,1,14,0,1,0,True,2334819826,125,1785028601.622724696,2052938617,2334819826,0,32,52,66,126,1785028601.624976658,2052938617,2334819826,54,32,106,120,129,14,58,0,1,True,54,2.251962,2251962,0.490687,400.007829,396.751559,,,False,False,,
31,0,128,1785028602.022241838,2334819826,22,32,74,88,1,15,0,1,0,True,2334819848,129,1785028602.022732445,2052938671,2334819848,0,32,52,66,130,1785028602.029172421,2052938671,2334819848,54,32,106,120,129,15,59,0,1,True,54,6.439976,6439976,0.490607,400.000907,397.265180,,,False,False,,
32,0,132,1785028602.422242745,2334819848,22,32,74,88,1,0,0,1,0,True,2334819870,133,1785028602.422697811,2052938725,2334819870,0,32,52,66,134,1785028602.423836935,2052938725,2334819870,54,32,106,120,129,0,60,0,1,True,54,1.139124,1139124,0.455066,400.001376,393.070324,,,False,False,,
33,0,136,1785028602.822244121,2334819870,22,32,74,88,1,1,0,1,0,True,2334819892,137,1785028602.822741352,2052938779,2334819892,0,32,52,66,138,1785028602.830193640,2052938779,2334819892,54,32,106,120,129,1,61,0,1,True,54,7.452288,7452288,0.497231,400.004457,398.407186,,,False,False,,
34,0,140,1785028603.222248578,2334819892,22,32,74,88,1,2,0,1,0,True,2334819914,141,1785028603.222765685,2052938833,2334819914,0,32,52,66,142,1785028603.225640305,2052938833,2334819914,54,32,106,120,129,2,62,0,1,True,54,2.874620,2874620,0.517107,400.007769,392.054938,,,False,False,,
35,0,144,1785028603.622256347,2334819914,22,32,74,88,1,3,0,1,0,True,2334819936,145,1785028603.622772571,2052938887,2334819936,0,32,52,66,146,1785028603.623866576,2052938887,2334819936,54,32,106,120,129,3,63,0,1,True,54,1.094005,1094005,0.516224,399.979811,396.616042,,,False,False,,
36,0,148,1785028604.022236158,2334819936,22,32,74,88,1,4,0,1,0,True,2334819958,149,1785028604.023119600,2052938941,2334819958,0,32,52,66,150,1785028604.024322875,2052938941,2334819958,54,32,106,120,129,4,0,0,1,True,54,1.203275,1203275,0.883442,400.001573,398.369582,,,False,False,,
37,0,152,1785028604.422237731,2334819958,22,32,74,88,1,5,0,1,0,True,2334819980,153,1785028604.422727457,2052938995,2334819980,0,32,52,66,154,1785028604.423828348,2052938995,2334819980,54,32,106,120,129,5,1,0,1,True,54,1.100891,1100891,0.489726,400.001801,397.914856,,,False,False,,
