config,capture,device_label,is_reference,master_ip,master_port,outstation_ip,outstation_port,tcp_stream,connection_id,req_frame,req_time_epoch,req_seq,req_ack,req_flags,req_tcp_len,req_ip_len,req_func,first_rev_frame,first_rev_time_epoch,first_rev_tcp_len,first_rev_flags,pure_ack_present,pure_ack_frame,pure_ack_time_epoch,pure_ack_seq,pure_ack_ack,resp_frame,resp_time_epoch,resp_tcp_len,resp_ip_len,resp_flags,resp_func,req_to_first_rev_ms,req_to_pure_ack_ms,pure_ack_to_resp_ms,req_to_resp_ms,retransmission_count,duplicate_ack_count,out_of_order,reset,missing_response,packet_count,transaction_ip_bytes,classification,classification_confidence,ambiguity_reason,ack_mode,response_delivery,is_first_in_connection
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57190,127.0.0.1,20000,9,127.0.0.1:57190<->127.0.0.1:20000#s9,98,1784212193.7815957,70,52,0x0018,18,84,1,99,1784212193.816911,2407,0x0018,False,,,,,99,1784212193.816911,2407,2473,0x0018,129,35.315275,,,35.315275,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57190,127.0.0.1,20000,9,127.0.0.1:57190<->127.0.0.1:20000#s9,100,1784212193.816991,88,2459,0x0018,15,81,0,101,1784212193.8523786,1657,0x0018,False,,,,,101,1784212193.8523786,1657,1723,0x0018,129,35.387516,,,35.387516,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57202,127.0.0.1,20000,11,127.0.0.1:57202<->127.0.0.1:20000#s11,111,1784212195.0702972,1,1,0x0018,24,90,20,112,1784212195.0703084,0,0x0010,True,112,1784212195.0703084,1,25,113,1784212195.1054568,17,83,0x0018,129,0.011206,0.011206,35.148382,35.159588,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,SEPARATE,FULL,True
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57202,127.0.0.1,20000,11,127.0.0.1:57202<->127.0.0.1:20000#s11,115,1784212195.1055346,25,18,0x0018,21,87,2,116,1784212195.140943,17,0x0018,False,,,,,116,1784212195.140943,17,83,0x0018,129,35.408497,,,35.408497,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57202,127.0.0.1,20000,11,127.0.0.1:57202<->127.0.0.1:20000#s11,117,1784212195.141018,46,35,0x0018,24,90,20,118,1784212195.1764953,17,0x0018,False,,,,,118,1784212195.1764953,17,83,0x0018,129,35.4774,,,35.4774,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57202,127.0.0.1,20000,11,127.0.0.1:57202<->127.0.0.1:20000#s11,119,1784212195.1766083,70,52,0x0018,18,84,1,120,1784212195.2123778,2407,0x0018,False,,,,,120,1784212195.2123778,2407,2473,0x0018,129,35.769463,,,35.769463,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57202,127.0.0.1,20000,11,127.0.0.1:57202<->127.0.0.1:20000#s11,121,1784212195.2124932,88,2459,0x0018,15,81,0,122,1784212195.2484682,1657,0x0018,False,,,,,122,1784212195.2484682,1657,1723,0x0018,129,35.974979,,,35.974979,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57224,127.0.0.1,20000,13,127.0.0.1:57224<->127.0.0.1:20000#s13,132,1784212196.467279,1,1,0x0018,24,90,20,133,1784212196.4672904,0,0x0010,True,133,1784212196.4672904,1,25,134,1784212196.502441,17,83,0x0018,129,0.011444,0.011444,35.150528,35.161972,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,SEPARATE,FULL,True
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57224,127.0.0.1,20000,13,127.0.0.1:57224<->127.0.0.1:20000#s13,136,1784212196.50252,25,18,0x0018,21,87,2,137,1784212196.5379248,17,0x0018,False,,,,,137,1784212196.5379248,17,83,0x0018,129,35.404682,,,35.404682,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57224,127.0.0.1,20000,13,127.0.0.1:57224<->127.0.0.1:20000#s13,138,1784212196.5380003,46,35,0x0018,24,90,20,139,1784212196.5733356,17,0x0018,False,,,,,139,1784212196.5733356,17,83,0x0018,129,35.335302,,,35.335302,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
