config,capture,device_label,is_reference,master_ip,master_port,outstation_ip,outstation_port,tcp_stream,connection_id,req_frame,req_time_epoch,req_seq,req_ack,req_flags,req_tcp_len,req_ip_len,req_func,first_rev_frame,first_rev_time_epoch,first_rev_tcp_len,first_rev_flags,pure_ack_present,pure_ack_frame,pure_ack_time_epoch,pure_ack_seq,pure_ack_ack,resp_frame,resp_time_epoch,resp_tcp_len,resp_ip_len,resp_flags,resp_func,req_to_first_rev_ms,req_to_pure_ack_ms,pure_ack_to_resp_ms,req_to_resp_ms,retransmission_count,duplicate_ack_count,out_of_order,reset,missing_response,packet_count,transaction_ip_bytes,classification,classification_confidence,ambiguity_reason,is_first_in_connection
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44762,127.0.0.1,20000,9,127.0.0.1:44762<->127.0.0.1:20000#s9,96,1784213760.7610052,46,35,0x0018,24,90,20,97,1784213760.7863193,17,0x0018,False,,,,,97,1784213760.7863193,17,83,0x0018,129,25.314093,,,25.314093,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44762,127.0.0.1,20000,9,127.0.0.1:44762<->127.0.0.1:20000#s9,98,1784213760.7863755,70,52,0x0018,18,84,1,99,1784213760.8116987,2407,0x0018,False,,,,,99,1784213760.8116987,2407,2473,0x0018,129,25.323153,,,25.323153,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44762,127.0.0.1,20000,9,127.0.0.1:44762<->127.0.0.1:20000#s9,100,1784213760.8117666,88,2459,0x0018,15,81,0,101,1784213760.8371153,1657,0x0018,False,,,,,101,1784213760.8371153,1657,1723,0x0018,129,25.348663,,,25.348663,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44776,127.0.0.1,20000,11,127.0.0.1:44776<->127.0.0.1:20000#s11,111,1784213762.0557292,1,1,0x0018,24,90,20,112,1784213762.055741,0,0x0010,True,112,1784213762.055741,1,25,113,1784213762.080865,17,83,0x0018,129,0.011921,0.011921,25.123835,25.135756,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44776,127.0.0.1,20000,11,127.0.0.1:44776<->127.0.0.1:20000#s11,115,1784213762.0809355,25,18,0x0018,21,87,2,116,1784213762.1063502,17,0x0018,False,,,,,116,1784213762.1063502,17,83,0x0018,129,25.414705,,,25.414705,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44776,127.0.0.1,20000,11,127.0.0.1:44776<->127.0.0.1:20000#s11,117,1784213762.106406,46,35,0x0018,24,90,20,118,1784213762.1316986,17,0x0018,False,,,,,118,1784213762.1316986,17,83,0x0018,129,25.292635,,,25.292635,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44776,127.0.0.1,20000,11,127.0.0.1:44776<->127.0.0.1:20000#s11,119,1784213762.1317737,70,52,0x0018,18,84,1,120,1784213762.1570475,2407,0x0018,False,,,,,120,1784213762.1570475,2407,2473,0x0018,129,25.2738,,,25.2738,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44776,127.0.0.1,20000,11,127.0.0.1:44776<->127.0.0.1:20000#s11,121,1784213762.1571233,88,2459,0x0018,15,81,0,122,1784213762.182494,1657,0x0018,False,,,,,122,1784213762.182494,1657,1723,0x0018,129,25.370598,,,25.370598,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44806,127.0.0.1,20000,13,127.0.0.1:44806<->127.0.0.1:20000#s13,132,1784213763.4009624,1,1,0x0018,24,90,20,133,1784213763.4009743,0,0x0010,True,133,1784213763.4009743,1,25,134,1784213763.4260898,17,83,0x0018,129,0.011921,0.011921,25.11549,25.127411,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44806,127.0.0.1,20000,13,127.0.0.1:44806<->127.0.0.1:20000#s13,136,1784213763.4261692,25,18,0x0018,21,87,2,137,1784213763.4515247,17,0x0018,False,,,,,137,1784213763.4515247,17,83,0x0018,129,25.355577,,,25.355577,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44806,127.0.0.1,20000,13,127.0.0.1:44806<->127.0.0.1:20000#s13,138,1784213763.4515996,46,35,0x0018,24,90,20,139,1784213763.4768548,17,0x0018,False,,,,,139,1784213763.4768548,17,83,0x0018,129,25.255203,,,25.255203,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44806,127.0.0.1,20000,13,127.0.0.1:44806<->127.0.0.1:20000#s13,140,1784213763.4769106,70,52,0x0018,18,84,1,141,1784213763.5021925,2407,0x0018,False,,,,,141,1784213763.5021925,2407,2473,0x0018,129,25.281906,,,25.281906,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44806,127.0.0.1,20000,13,127.0.0.1:44806<->127.0.0.1:20000#s13,142,1784213763.5022502,88,2459,0x0018,15,81,0,143,1784213763.5276544,1657,0x0018,False,,,,,143,1784213763.5276544,1657,1723,0x0018,129,25.404215,,,25.404215,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44836,127.0.0.1,20000,15,127.0.0.1:44836<->127.0.0.1:20000#s15,153,1784213764.7461567,1,1,0x0018,24,90,20,154,1784213764.7461689,0,0x0010,True,154,1784213764.7461689,1,25,155,1784213764.7713413,17,83,0x0018,129,0.012159,0.012159,25.172472,25.184631,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44836,127.0.0.1,20000,15,127.0.0.1:44836<->127.0.0.1:20000#s15,157,1784213764.7716856,25,18,0x0018,21,87,2,158,1784213764.7968123,17,0x0018,False,,,,,158,1784213764.7968123,17,83,0x0018,129,25.126696,,,25.126696,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44836,127.0.0.1,20000,15,127.0.0.1:44836<->127.0.0.1:20000#s15,159,1784213764.7968614,46,35,0x0018,24,90,20,160,1784213764.8221881,17,0x0018,False,,,,,160,1784213764.8221881,17,83,0x0018,129,25.326729,,,25.326729,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44836,127.0.0.1,20000,15,127.0.0.1:44836<->127.0.0.1:20000#s15,161,1784213764.8222313,70,52,0x0018,18,84,1,162,1784213764.8475776,2407,0x0018,False,,,,,162,1784213764.8475776,2407,2473,0x0018,129,25.346279,,,25.346279,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44836,127.0.0.1,20000,15,127.0.0.1:44836<->127.0.0.1:20000#s15,163,1784213764.8476543,88,2459,0x0018,15,81,0,164,1784213764.8731961,1657,0x0018,False,,,,,164,1784213764.8731961,1657,1723,0x0018,129,25.541782,,,25.541782,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44844,127.0.0.1,20000,17,127.0.0.1:44844<->127.0.0.1:20000#s17,174,1784213766.0914314,1,1,0x0018,24,90,20,175,1784213766.091444,0,0x0010,True,175,1784213766.091444,1,25,176,1784213766.1165504,17,83,0x0018,129,0.012636,0.012636,25.10643,25.119066,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44844,127.0.0.1,20000,17,127.0.0.1:44844<->127.0.0.1:20000#s17,178,1784213766.1166277,25,18,0x0018,21,87,2,179,1784213766.141948,17,0x0018,False,,,,,179,1784213766.141948,17,83,0x0018,129,25.320292,,,25.320292,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44844,127.0.0.1,20000,17,127.0.0.1:44844<->127.0.0.1:20000#s17,180,1784213766.1420224,46,35,0x0018,24,90,20,181,1784213766.1672864,17,0x0018,False,,,,,181,1784213766.1672864,17,83,0x0018,129,25.264025,,,25.264025,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44844,127.0.0.1,20000,17,127.0.0.1:44844<->127.0.0.1:20000#s17,182,1784213766.1673522,70,52,0x0018,18,84,1,183,1784213766.1926339,2407,0x0018,False,,,,,183,1784213766.1926339,2407,2473,0x0018,129,25.281668,,,25.281668,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44844,127.0.0.1,20000,17,127.0.0.1:44844<->127.0.0.1:20000#s17,184,1784213766.1926975,88,2459,0x0018,15,81,0,185,1784213766.2180479,1657,0x0018,False,,,,,185,1784213766.2180479,1657,1723,0x0018,129,25.350332,,,25.350332,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,False
