config,capture,device_label,is_reference,master_ip,master_port,outstation_ip,outstation_port,tcp_stream,connection_id,req_frame,req_time_epoch,req_seq,req_ack,req_flags,req_tcp_len,req_ip_len,req_func,first_rev_frame,first_rev_time_epoch,first_rev_tcp_len,first_rev_flags,pure_ack_present,pure_ack_frame,pure_ack_time_epoch,pure_ack_seq,pure_ack_ack,resp_frame,resp_time_epoch,resp_tcp_len,resp_ip_len,resp_flags,resp_func,req_to_first_rev_ms,req_to_pure_ack_ms,pure_ack_to_resp_ms,req_to_resp_ms,retransmission_count,duplicate_ack_count,out_of_order,reset,missing_response,packet_count,transaction_ip_bytes,classification,classification_confidence,ambiguity_reason,is_first_in_connection
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,52002,127.0.0.1,20000,9,127.0.0.1:52002<->127.0.0.1:20000#s9,1512,1784209949.9218745,46,35,0x0018,24,90,20,1513,1784209949.9448493,17,0x0018,False,,,,,1513,1784209949.9448493,17,83,0x0018,129,22.97473,,,22.97473,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,52002,127.0.0.1,20000,9,127.0.0.1:52002<->127.0.0.1:20000#s9,1514,1784209949.9449234,70,52,0x0018,18,84,1,1515,1784209949.9693816,10,0x0018,False,,,,,1539,1784209950.1365664,12,78,0x0018,,24.45817,,,191.643,0,0,False,False,False,26,2026,OTHER_OR_AMBIGUOUS,low,first reverse packet neither pure ACK nor DNP3 payload,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,52002,127.0.0.1,20000,9,127.0.0.1:52002<->127.0.0.1:20000#s9,1726,1784209951.4322567,88,2459,0x0018,15,81,0,1727,1784209951.4545085,10,0x0018,False,,,,,1751,1784209951.624731,12,78,0x0018,,22.251844,,,192.474365,0,0,False,False,False,26,2023,OTHER_OR_AMBIGUOUS,low,first reverse packet neither pure ACK nor DNP3 payload,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,52018,127.0.0.1,20000,11,127.0.0.1:52018<->127.0.0.1:20000#s11,1881,1784209953.6830785,1,1,0x0018,24,90,20,1882,1784209953.6830902,0,0x0010,True,1882,1784209953.6830902,1,25,1883,1784209953.7061489,17,83,0x0018,129,0.011683,0.011683,23.058653,23.070335,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,52018,127.0.0.1,20000,11,127.0.0.1:52018<->127.0.0.1:20000#s11,1885,1784209953.7062168,25,18,0x0018,21,87,2,1886,1784209953.7277706,17,0x0018,False,,,,,1886,1784209953.7277706,17,83,0x0018,129,21.553755,,,21.553755,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,52018,127.0.0.1,20000,11,127.0.0.1:52018<->127.0.0.1:20000#s11,1887,1784209953.7278454,46,35,0x0018,24,90,20,1888,1784209953.7508702,17,0x0018,False,,,,,1888,1784209953.7508702,17,83,0x0018,129,23.024797,,,23.024797,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,52018,127.0.0.1,20000,11,127.0.0.1:52018<->127.0.0.1:20000#s11,1889,1784209953.7509449,70,52,0x0018,18,84,1,1890,1784209953.775479,10,0x0018,False,,,,,1914,1784209953.9421585,12,78,0x0018,,24.534225,,,191.213608,0,0,False,False,False,26,2026,OTHER_OR_AMBIGUOUS,low,first reverse packet neither pure ACK nor DNP3 payload,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,52018,127.0.0.1,20000,11,127.0.0.1:52018<->127.0.0.1:20000#s11,2101,1784209955.245673,88,2459,0x0018,15,81,0,2102,1784209955.2673402,10,0x0018,False,,,,,2126,1784209955.4363337,12,78,0x0018,,21.667242,,,190.660715,0,0,False,False,False,26,2023,OTHER_OR_AMBIGUOUS,low,first reverse packet neither pure ACK nor DNP3 payload,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,52936,127.0.0.1,20000,13,127.0.0.1:52936<->127.0.0.1:20000#s13,2256,1784209957.4969933,1,1,0x0018,24,90,20,2257,1784209957.4970047,0,0x0010,True,2257,1784209957.4970047,1,25,2258,1784209957.5200608,17,83,0x0018,129,0.011444,0.011444,23.05603,23.067474,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,52936,127.0.0.1,20000,13,127.0.0.1:52936<->127.0.0.1:20000#s13,2260,1784209957.5201387,25,18,0x0018,21,87,2,2261,1784209957.5416894,17,0x0018,False,,,,,2261,1784209957.5416894,17,83,0x0018,129,21.550655,,,21.550655,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
