capture_id,ts,device,ack_mode,flow,transaction_id,direction,tcp_kind,dnp3_fc,role,response_to,is_read_request,is_read_response,is_direct_operate,is_direct_operate_response,is_select,is_select_confirm,is_operate,is_operate_confirm,is_app_confirm,is_response,response_fragment_index,app_fir,app_fin,app_con,wire_size,tcp_payload_size
SEL751.pcap,1561422375.597876,SEL751,separate,10.0.0.3:38527,20,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422375.601491,SEL751,separate,10.0.0.3:38527,20,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422375.613623,SEL751,separate,10.0.0.3:38527,20,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422375.613653,SEL751,separate,10.0.0.3:38527,20,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422377.59804,SEL751,separate,10.0.0.3:38527,21,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422377.601644,SEL751,separate,10.0.0.3:38527,21,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422377.614125,SEL751,separate,10.0.0.3:38527,21,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422377.614154,SEL751,separate,10.0.0.3:38527,21,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422379.598186,SEL751,separate,10.0.0.3:38527,22,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422379.602271,SEL751,separate,10.0.0.3:38527,22,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422379.615927,SEL751,separate,10.0.0.3:38527,22,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422379.615954,SEL751,separate,10.0.0.3:38527,22,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422381.59835,SEL751,separate,10.0.0.3:38527,23,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422381.602376,SEL751,separate,10.0.0.3:38527,23,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422381.61558,SEL751,separate,10.0.0.3:38527,23,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422381.615607,SEL751,separate,10.0.0.3:38527,23,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422383.598524,SEL751,separate,10.0.0.3:38527,24,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422383.601953,SEL751,separate,10.0.0.3:38527,24,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422383.613986,SEL751,separate,10.0.0.3:38527,24,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422383.614013,SEL751,separate,10.0.0.3:38527,24,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422385.598613,SEL751,separate,10.0.0.3:38527,25,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422385.602486,SEL751,separate,10.0.0.3:38527,25,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422385.616463,SEL751,separate,10.0.0.3:38527,25,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
