pcap,device_label,outstation_ip,classification,flow_id,stream,master,outstation,req_frame,req_size,req_func,first_rev_frame,first_rev_is_pure_ack,resp_frame,resp_size,resp_func,resp_flags,resp_seq,resp_ack,req_to_ack_ms,req_to_resp_ms,ack_to_resp_ms,retransmission,duplicate_ack,reset,out_of_order,note
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,136,22,1,137,False,137,54,129,0x0018,2377,991,16.3,16.3,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,139,22,1,140,False,140,54,129,0x0018,2431,1013,16.439,16.439,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,142,22,1,143,False,143,54,129,0x0018,2485,1035,15.938,15.938,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,145,22,1,146,False,146,54,129,0x0018,2539,1057,16.428,16.428,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,148,22,1,149,False,149,54,129,0x0018,2593,1079,15.5811,15.5811,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,151,22,1,152,False,152,54,129,0x0018,2647,1101,16.0401,16.0401,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,154,22,1,155,False,155,54,129,0x0018,2701,1123,16.052,16.052,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,157,22,1,158,False,158,54,129,0x0018,2755,1145,17.323,17.323,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,160,22,1,161,False,161,54,129,0x0018,2809,1167,17.8671,17.8671,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,163,22,1,164,False,164,54,129,0x0018,2863,1189,17.046,17.046,0.0,False,False,False,False,
