row_type,config,server_nodelay,client_quickack,requested_delay_ms,reps,req_to_resp_ms_mean,req_to_resp_ms_max,responses_ok,response_bytes_ok_all,resets,pure_ack_yes,pure_ack_no,pure_ack_unknown,pure_ack_frac,request_to_ack_ms_mean,ack_to_response_ms_mean,retransmissions_sum,capture_status,rep,request_to_response_ms,response_received,response_bytes_ok,reset,pure_ack_emitted,request_to_ack_ms,ack_to_response_ms,retransmissions
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,1.097,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,2.096,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,2.117,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,2.105,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,2.098,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,2.096,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,2.103,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,2.101,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,2.095,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,2.097,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,9,2.095,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,10,2.096,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,2.097,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,2.11,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,2.117,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,2.102,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,2.1,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,2.098,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,2.116,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,2.107,True,True,False,unknown,,,
raw,baseline,default,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,2.102,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,5.124,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,5.113,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,5.117,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,5.109,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,5.119,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,5.108,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,5.141,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,5.139,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,5.151,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,9,5.173,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,10,5.197,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,5.599,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,5.623,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,5.617,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,6.065,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,5.596,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,5.462,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,5.373,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,5.206,True,True,False,unknown,,,
raw,baseline,default,default,5,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,5.181,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,10.159,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,10.15,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,10.155,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,10.149,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,10.512,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,10.124,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,10.125,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,10.141,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,10.134,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,9,10.138,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,10,10.15,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,10.154,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,10.729,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,10.301,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,10.624,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,10.821,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,10.669,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,10.631,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,10.277,True,True,False,unknown,,,
raw,baseline,default,default,10,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,10.28,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,20.811,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,20.342,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,20.637,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,20.653,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,20.389,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,20.62,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,20.646,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,20.778,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,20.214,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,9,20.165,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,10,20.638,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,20.368,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,20.298,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,20.627,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,20.219,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,20.159,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,20.145,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,20.275,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,20.612,True,True,False,unknown,,,
raw,baseline,default,default,20,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,20.641,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,50.768,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,50.625,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,50.27,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,50.613,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,50.797,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,50.658,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,50.613,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,50.222,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,50.177,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,9,50.607,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,10,50.657,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,50.337,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,50.691,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,50.273,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,50.603,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,50.25,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,50.231,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,50.269,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,50.461,True,True,False,unknown,,,
raw,baseline,default,default,50,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,50.22,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,0.047,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,0.042,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,0.039,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,0.037,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,0.036,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,0.035,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,0.045,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,0.038,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,0.04,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,9,0.049,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,10,0.035,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,0.034,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,0.035,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,0.035,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,0.036,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,0.042,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,0.035,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,0.035,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,0.035,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,0.034,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,1.111,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,1.096,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,1.094,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,1.096,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,1.098,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,1.096,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,1.096,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,1.1,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,1.12,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,9,1.107,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,10,1.1,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,1.099,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,1.096,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,1.048,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,1.097,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,1.102,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,1.114,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,1.106,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,1.105,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,1.103,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,2.141,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,2.138,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,2.137,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,2.137,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,2.142,True,True,False,unknown,,,
raw,server_nodelay_on,on,default,2,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,2.133,True,True,False,unknown,,,
