row_type,config,server_nodelay,client_quickack,requested_delay_ms,reps,req_to_resp_ms_mean,req_to_resp_ms_max,responses_ok,response_bytes_ok_all,resets,pure_ack_yes,pure_ack_no,pure_ack_unknown,pure_ack_frac,request_to_ack_ms_mean,ack_to_response_ms_mean,retransmissions_sum,capture_status,rep,request_to_response_ms,response_received,response_bytes_ok,reset,pure_ack_emitted,request_to_ack_ms,ack_to_response_ms,retransmissions
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,35.7,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,35.702,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,35.657,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,35.637,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,20,35.629,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,21,35.705,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,22,35.64,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,23,35.54,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,24,35.646,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,25,35.711,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,26,35.623,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,27,35.698,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,28,35.665,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,29,35.619,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,38.723,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,38.698,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,38.639,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,38.683,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,38.661,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,38.651,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,38.623,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,38.643,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,38.699,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,9,38.63,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,10,38.726,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,38.689,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,38.691,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,38.74,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,38.717,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,38.61,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,38.742,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,38.648,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,38.738,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,38.683,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,20,38.69,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,21,38.627,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,22,38.626,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,23,38.725,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,24,38.641,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,25,38.697,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,26,38.648,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,27,38.65,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,28,38.647,True,True,False,unknown,,,
raw,baseline,default,default,38,,,,,,,,,,,,,,undetermined-needs-privileged-capture,29,38.698,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,40.585,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,40.718,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,40.657,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,40.578,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,40.715,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,40.641,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,40.637,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,40.631,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,40.667,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,9,40.611,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,10,40.661,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,40.652,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,40.64,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,40.653,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,40.713,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,40.643,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,40.606,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,40.704,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,40.742,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,40.646,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,20,40.647,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,21,40.708,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,22,40.654,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,23,40.618,True,True,False,unknown,,,
