D_A_ms,D_R_ms,D_ms,ack_med_ms,clrt_max_ms,clrt_med_ms,clrt_min_ms,clrt_q1_ms,clrt_q3_ms,max_ms,median_ms,min_ms,n,panel,point,q1_ms,q3_ms,rt_med_ms,series,x_ms,y_fraction_exceeding
30.0,4.0,34.0,30.571,,4.0009,,,,,,,400,c,sw_D4_30_4,,,,D_A_ramp,,
32.0,4.0,36.0,31.0717,,5.5029,,,,,,,400,c,sw_D4_32_4,,,,D_A_ramp,,
34.0,4.0,38.0,31.0712,,7.4981,,,,,,,400,c,sw_D4_34_4,,,,D_A_ramp,,
36.0,4.0,40.0,31.0731,,9.5071,,,,,,,200,c,sw_D4_36_4,,,,D_A_ramp,,
36.0,4.0,40.0,31.0712,,9.5016,,,,,,,400,c,sw_D4_36_4b,,,,D_A_ramp,,
,,,,,,,,,83.862,2.68,1.529,26400,d,,1.679,4.49625,,Timing OFF/READ,,
,,,,,,,,,25.437,2.622,1.49,2640,d,,1.611,4.33,,Timing OFF/SELECT,,
,,,,,,,,,24.769,3.465,2.299,2640,d,,3.366,5.376,,Timing OFF/OPERATE,,
,,,,,,,,,77.713,25.337,24.445,26400,d,,25.284,25.393,,Obfuscated/READ,,
,,,,,,,,,29.577,25.239,24.501,2640,d,,25.186,25.286,,Obfuscated/SELECT,,
,,,,,,,,,33.151,24.65,24.498,2640,d,,24.625,24.676,,Obfuscated/OPERATE,,
