Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 13
  Number of stages for ingress table allocation: 13
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 10
Invoking table placement without container conflicts because first round of table placement required 13 stages.
Number of tables allocated: 137
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
|   6   |    [ 6, 8 ]     |             tbl_defense4_twopipe_pipe0_probe3084             |
|   6   |    [ 6, 9 ]     |             tbl_defense4_twopipe_pipe0_probe3082             |
|   6   |    [ 6, 8 ]     |             tbl_defense4_twopipe_pipe0_probe3075             |
|   6   |    [ 6, 9 ]     |             tbl_defense4_twopipe_pipe0_probe3073             |
|   6   |   [ 6, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3100             |
|   6   |   [ 6, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3106             |
|   7   |    [ 7, 9 ]     |                   Ingress.tbl_tresp_expiry                   |
|   7   |    [ 7, 9 ]     |                 Ingress.tbl_deadline_expiry                  |
|   7   |   [ 7, 10 ]     |                           cond-106                           |
|   7   |   [ 7, 10 ]     |                           cond-131                           |
|   7   |   [ 7, 10 ]     |                           cond-135                           |
|   7   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3539             |
|   7   |   [ 7, 10 ]     |                           cond-137                           |
|   7   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3545             |
|   7   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3549             |
|   7   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3507             |
|   7   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3156             |
|   7   |   [ 7, 10 ]     |                           cond-108                           |
|   7   |   [ 7, 10 ]     |                           cond-114                           |
|   7   |   [ 7, 10 ]     |                           cond-120                           |
|   7   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3348             |
|   7   |   [ 7, 10 ]     |                         tbl_to_hold                          |
|   8   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3516             |
|   8   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3558             |
|   8   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3242             |
|   8   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3176             |
|   8   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3185             |
|   8   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3354             |
|   8   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3562             |
|   8   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3520             |
|   8   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3194             |
|   8   |   [ 8, 11 ]     |                      tbl_to_resp_block                       |
|   8   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3189             |
|   8   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3526             |
|   8   |   [ 8, 11 ]     |                     tbl_to_resp_block_0                      |
|   8   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3524             |
|   8   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3569             |
|   8   |   [ 8, 11 ]     |                        tbl_to_block_1                        |
|   9   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3567             |
|   9   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3363             |
|   9   |   [ 8, 11 ]     |                         tbl_to_block                         |
|   9   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3180             |
|   9   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3370             |
|   9   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3555             |
|   9   |   [ 7, 11 ]     |                        tbl_to_block_0                        |
|   9   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3553             |
|   9   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3208             |
|   9   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3211             |
|   9   |   [ 7, 11 ]     |                           cond-124                           |
|   9   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3428             |
|   9   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3451             |
|   9   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3455             |
|   9   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3434             |
|   9   |   [ 7, 11 ]     |                       tbl_arm_clone_0                        |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3436             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3444             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3401             |
|  10   |   [ 7, 11 ]     |                        tbl_arm_clone                         |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3393             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3413             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3419             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3279             |
|  10   |   [ 7, 11 ]     |                       tbl_to_resp_hold                       |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3329             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3340             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3339             |
|  10   |   [ 7, 11 ]     |            tbl_defense4_twopipe_pipe0_probe3339_0            |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3294             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3295             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3587             |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3637             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3617             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3618             |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3614             |
|  11   |   [ 7, 11 ]     |            tbl_defense4_twopipe_pipe0_probe3614_0            |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3597             |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3599             |
|  11   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3647             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3646             |
|  11   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3645             |
+-------+-----------------+--------------------------------------------------------------+

NOTES:  - A '*' next to the min / max stage column indicates the table is placed outside its allowed scope

Table allocation done 3 time(s), state = REDO_PHV1
Number of stages in table allocation: 12
  Number of stages for ingress table allocation: 12
  Number of stages for egress table allocation: 3
Critical path length through the table dependency graph: 10
Number of tables allocated: 137
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
+-------+-----------------+--------------------------------------------------------------+
|   0   |    [ -, - ]     |                  Ingress.tbl_build_exp_ack                   |
|   0   |    [ 0, 2 ]     |                     Ingress.tbl_session                      |
|   0   |    [ 0, 3 ]     |                      Ingress.tbl_params                      |
|   0   |    [ 0, 3 ]     |                           cond-83                            |
|   0   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2925             |
|   0   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2931             |
|   0   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2942             |
|   0   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2911             |
|   0   |   [ 0, 10 ]     |                           cond-151                           |
|   0   |   [ 0, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3832             |
|   0   |   [ 0, 10 ]     |                           cond-153                           |
|   0   |   [ 0, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3843             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3849             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3852             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3838             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe2841             |
|   1   |    [ 1, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2913             |
|   1   |    [ 1, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2916             |
|   1   |    [ 1, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2919             |
|   1   |    [ 1, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2978             |
|   1   |    [ 0, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2845             |
|   1   |    [ 1, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2976             |
|   1   |    [ 1, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2977             |
|   1   |    [ 0, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2851             |
|   1   |    [ 0, 5 ]     |                    Ingress.tbl_bor_params                    |
|   1   |   [ 1, 10 ]     |                  Ingress.tbl_build_do_shape                  |
|   1   |    [ 0, 9 ]     |             tbl_defense4_twopipe_pipe0_probe2854             |
|   1   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3144             |
|   1   |   [ 0, 11 ]     |                 Ingress.tbl_build_bor_cands                  |
|   1   |   [ 0, 11 ]     |                   Ingress.tbl_bor_codebook                   |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_3          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_2          |
|   2   |    [ 2, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2980             |
|   2   |    [ 2, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2982             |
|   2   |    [ 2, 4 ]     |                           cond-91                            |
|   2   |    [ 2, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2955             |
|   2   |    [ 2, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2957             |
|   2   |   [ 2, 11 ]     |             tbl_defense4_twopipe_pipe0_probe2960             |
|   2   |    [ 1, 5 ]     |                    Ingress.tbl_build_now                     |
|   2   |   [ 1, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3648             |
|   2   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_1          |
